epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2129.49,1.19587,1.8682,1.843,0.94454,0.94969,0.95711,0.8741,0.55334,0.80319,0.69925,0.000369616,0.000369616,0.000369616
2,4151.44,0.84861,0.65199,1.45591,0.94586,0.90656,0.94776,0.84612,0.71784,0.72139,0.90533,0.000666694,0.000666694,0.000666694
3,6176.94,0.78315,0.51189,1.39401,0.95138,0.93764,0.96153,0.90958,0.45071,0.53913,0.65455,0.000890446,0.000890446,0.000890446
4,8216.61,0.76303,0.4646,1.38589,0.95334,0.94956,0.96964,0.92815,0.37305,0.41686,0.51583,0.000781033,0.000781033,0.000781033
5,10247.4,0.69307,0.41728,1.32125,0.96563,0.94241,0.96851,0.933,0.34864,0.42171,0.54907,0.000671044,0.000671044,0.000671044
6,12308.8,0.66543,0.3918,1.31005,0.95967,0.95017,0.97509,0.94652,0.30916,0.3545,0.47254,0.000561055,0.000561055,0.000561055
7,14350.2,0.61386,0.36224,1.26547,0.98537,0.92717,0.97565,0.94033,0.35756,0.37794,0.48853,0.000451066,0.000451066,0.000451066
8,16386.4,0.59526,0.34752,1.26127,0.98672,0.92557,0.97714,0.95517,0.31592,0.32858,0.45573,0.000341077,0.000341077,0.000341077
9,18417.5,0.56243,0.33127,1.23481,0.98522,0.92596,0.97604,0.95428,0.27472,0.33216,0.41481,0.000231088,0.000231088,0.000231088
10,20460.3,0.52236,0.3111,1.20041,0.9815,0.94042,0.98028,0.96183,0.24508,0.27094,0.39924,0.000121099,0.000121099,0.000121099
