epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,654.396,1.6155,3.34083,1.86026,0.69457,0.51082,0.53139,0.29058,1.47909,3.40981,1.61115,0.000332435,0.000332435,0.000332435
2,1313.52,1.5188,2.33388,1.73744,0.66963,0.5412,0.59886,0.32753,1.65831,2.37534,1.80473,0.000649492,0.000649492,0.000649492
3,1972.84,1.47957,1.81845,1.679,0.63446,0.59202,0.69254,0.38799,1.5023,1.79586,1.64013,0.000903791,0.000903791,0.000903791
4,2632.03,1.39239,1.50731,1.59317,0.77574,0.7311,0.7703,0.455,1.4002,1.50561,1.51636,0.000794099,0.000794099,0.000794099
5,3289.16,1.28245,1.2758,1.4949,0.76382,0.75465,0.76366,0.48224,1.33222,1.21996,1.44453,0.000654854,0.000654854,0.000654854
6,3950.79,1.21788,1.12828,1.44161,0.77438,0.76299,0.80208,0.52412,1.26951,1.17035,1.41505,0.0005005,0.0005005,0.0005005
7,4612.31,1.14275,0.98783,1.38665,0.83679,0.76119,0.83102,0.58339,1.173,1.00512,1.34613,0.000346146,0.000346146,0.000346146
8,5274.72,1.0703,0.87948,1.31653,0.80905,0.83797,0.84727,0.57192,1.23357,0.9805,1.34691,0.000206901,0.000206901,0.000206901
9,5942.22,1.02643,0.82157,1.28789,0.79392,0.83628,0.83639,0.57582,1.16391,0.92179,1.30131,9.6396e-05,9.6396e-05,9.6396e-05
10,6608.29,0.98944,0.78008,1.25871,0.80456,0.83195,0.83236,0.58917,1.10372,0.90058,1.25204,2.54473e-05,2.54473e-05,2.54473e-05
